"date","sGARCH","gjrGARCH","eGARCH","harRV","linearSV","regimeSwitchingSV","nonlinearSV","buyAndHold"
2023-06-28,0.183861289353689,0.165710151919201,0.170809763319071,0.149524447427948,0.14716761515811,0.147046096821726,0.132675953463607,0.18713608872597
2023-07-05,0.185489444965237,0.167262786249683,0.172699315899059,0.151335535140172,0.148910167491312,0.148668361172692,0.13425255321876,0.189073076635061
2023-07-12,0.1799229117872,0.162568372314333,0.168916638625553,0.147879596472364,0.144829841634427,0.144851718995382,0.130462691234967,0.184243712054793
2023-07-19,0.183325429683154,0.168154871260399,0.173489521232617,0.151766593316665,0.150546642325723,0.150047865214006,0.13524982927493,0.18815872174685
2023-07-26,0.144484601064857,0.134635834363383,0.144488666339163,0.127174587644483,0.117876975100983,0.114188552620394,0.10473879659446,0.15623737252178
2023-08-02,0.166223751020804,0.153318089739956,0.163713113310278,0.149931659859385,0.14361980714349,0.140432661320221,0.132725420069789,0.180711510789863
2023-08-09,0.160903106170897,0.147832196043672,0.153923867440638,0.143494876641646,0.138660416204061,0.135593891436108,0.127970459067217,0.171192046667315
2023-08-16,0.163970455831779,0.14566197389913,0.155980916878486,0.137372379301906,0.136828200228079,0.126965672930112,0.128249262643768,0.16715082217338
2023-08-23,0.16427261881957,0.145865260999421,0.156004635534535,0.137435103709239,0.136985851394708,0.127055308606067,0.128349758458523,0.167159504835366
2023-08-30,0.165550530399501,0.14699769246025,0.157395179238857,0.13858895395284,0.138035552547007,0.127819017598794,0.12936524175332,0.168667477642881
2023-09-06,0.152944436540969,0.135859394285912,0.142894860136289,0.125213693576394,0.126580202459068,0.116673483088697,0.1196011778314,0.150649715956174
2023-09-13,0.154969802518809,0.137588189208497,0.144762960383212,0.126824528841367,0.12808671244027,0.117864707924427,0.120864371361884,0.152515553248774
2023-09-20,0.1376718141052,0.121935252559878,0.140246871346359,0.120260897889175,0.123147412032891,0.11119615251266,0.118648337801306,0.148799567884132
2023-09-27,0.159532923736588,0.13588764866669,0.151802312348132,0.134032893351996,0.13819294986663,0.12798448411852,0.131115094120705,0.162544397725789
2023-10-04,0.167165608994575,0.148303518786227,0.170262895865576,0.149178061958037,0.1500012438638,0.142608204140844,0.147316320305462,0.196452714701813
2023-10-11,0.184071694650485,0.168468295615909,0.207496890796259,0.175774886222498,0.168069517806521,0.158907796142837,0.167272432420216,0.241112683148582
2023-10-18,0.165426237392022,0.151237595258609,0.194273658219999,0.16373841270154,0.152301549662059,0.144904570345847,0.154211162175824,0.229189550927389
2023-10-25,0.169510778564465,0.157114396864922,0.204589765460928,0.169833091333485,0.157157139614266,0.148847725617961,0.158186444228614,0.243350823641967
2023-11-01,0.158894494138085,0.147168810997694,0.196222131508731,0.159340190029555,0.145030768933977,0.133843715719974,0.145471306409565,0.233779601577095
2023-11-08,0.16631406822292,0.154504043120686,0.207330065542623,0.166787999101284,0.152254426805892,0.13973151442529,0.151765110927141,0.243426008900178
2023-11-15,0.220639320595017,0.207102530291508,0.264485074093383,0.203326838763764,0.195941578249991,0.181291948703212,0.180257962204077,0.282227212013672
2023-11-22,0.221116479855638,0.207860883179851,0.265250575652046,0.203668810658739,0.196213059847258,0.181452297716774,0.180303277123521,0.282369102004662
2023-11-29,0.220728153776771,0.207502233442536,0.264856102686503,0.203276607299399,0.195846365778371,0.181125105206859,0.179971133974009,0.281892285543814
2023-12-06,0.230838271568893,0.215802351258907,0.272938456903572,0.212573277807181,0.203348189144566,0.188649778580731,0.186688255065517,0.290804942964386
2023-12-13,0.234359017866749,0.21886063182554,0.276278969972941,0.217639540511013,0.206348361413094,0.192025117564421,0.188943992073918,0.294332875228182
2023-12-20,0.277872391161169,0.265409662354021,0.33519016939682,0.283441027803451,0.252948038610784,0.236493242637541,0.228338885506927,0.354407405925838
2023-12-27,0.256973410535587,0.252832582597834,0.324553181810309,0.272248476615381,0.239239972049588,0.222876158178641,0.216357141115838,0.344442693990467
2024-01-03,0.237309926926435,0.233521686766562,0.298064705074316,0.252340611630621,0.218044513744166,0.200692617308571,0.189135175245476,0.307349341603359
2024-01-10,0.236030487661461,0.230625032724578,0.289399656012135,0.247579517095371,0.215395552030045,0.19816289231537,0.184365107374989,0.293231937718173
2024-01-17,0.254902366225498,0.248596950486687,0.300163453053706,0.276314404006931,0.235214710302933,0.215455400205926,0.20017287319221,0.319172085285809
2024-01-24,0.242398878307342,0.235875744563801,0.27893313853535,0.265725369840504,0.223160029948777,0.205007628243169,0.188520492423576,0.297087016601758
2024-01-31,0.238298105399093,0.231222093402541,0.268516731218056,0.261669052252922,0.219170790629577,0.201527779348352,0.184617240348215,0.289447044189523
2024-02-07,0.238527333603188,0.231428237452554,0.268280106115212,0.26198006237089,0.219389511505402,0.201731121969589,0.184781840007961,0.289869682105518
2024-02-14,0.203209857079371,0.200673616085615,0.230630899927857,0.244515021034245,0.194918736498223,0.180419138599553,0.167185215504221,0.266761031172841
2024-02-21,0.20474954698228,0.201582848540146,0.229632412656067,0.246878739723869,0.197056690774542,0.182668535373112,0.169167917999566,0.270754700596396
2024-02-28,0.209059626719071,0.205644421254555,0.233252882394638,0.251200731138305,0.201189562254021,0.186722791412816,0.17271234965518,0.276868953934305
2024-03-06,0.200829015845008,0.199749844976179,0.227277346198024,0.247065924972506,0.196565698594808,0.182246306029527,0.169061684289267,0.273387634030129
2024-03-13,0.19862912150075,0.19836088045686,0.222988952181536,0.243424546208504,0.194746180871461,0.179872541737382,0.16725192301331,0.27061932438781
2024-03-20,0.131105779681741,0.130054612001126,0.124827544922231,0.162220191290789,0.129814722221914,0.116486199253972,0.110959226422317,0.189897619851023
2024-03-27,0.14448216252707,0.142481653150191,0.135018154018089,0.174601456413662,0.141445321133347,0.128518679838039,0.122085294386575,0.205756316519976
2024-04-03,0.142562710270502,0.140116302916377,0.132967600459527,0.17156570122945,0.139546809433074,0.127022907718236,0.120599054610066,0.203113962693327
2024-04-10,0.143326363884597,0.140813915744463,0.133449018022808,0.172281304887825,0.140483993660102,0.128019253233132,0.121190417098291,0.203282094194253
2024-04-17,0.120982877120964,0.11781632161021,0.110900120051572,0.131401595956728,0.116143730404374,0.109783722652354,0.104279604098491,0.171262577860062
2024-04-24,0.117262989751158,0.113705990857522,0.105810978133892,0.12656991615855,0.112487974685832,0.106398765041469,0.100528396053935,0.163217002932674
2024-05-01,0.11772230102513,0.114016162636856,0.105989092046847,0.126743896019958,0.112959128109427,0.107058408917702,0.101028321853277,0.164016062943062
2024-05-15,0.123683222425738,0.119752414169632,0.11040984342227,0.130541287887172,0.118417823972926,0.11255049935371,0.105665806592883,0.169410263470763
2024-05-22,0.133164412419767,0.128107626949583,0.117711214246707,0.138997977619689,0.126948995887468,0.121831245624537,0.11299359921877,0.180080829575957
2024-05-29,0.128861891454981,0.123871177933642,0.114260579329767,0.13326037966406,0.122239158396067,0.117547401636145,0.109453989768889,0.173290071480955
2024-06-05,0.121084137194224,0.116571783494029,0.107387348215162,0.123780527267097,0.114601237863495,0.110261001334459,0.103349073649209,0.162260683914794
2024-06-12,0.119047099452371,0.114628703501704,0.105323477055582,0.121007971742682,0.112668208336927,0.10841039712114,0.101625418940537,0.159141608458857
2024-06-19,0.151190084709245,0.137915809795042,0.12441527671241,0.152011111396082,0.141868129778319,0.136664818168875,0.131133472309139,0.201458416906218
2024-06-26,0.14854551182461,0.134860496037225,0.121190897326468,0.149401958258888,0.139311373035078,0.134320176973567,0.129369637136964,0.1992647188821
2024-07-03,0.139532001768993,0.125507198872218,0.110860092375222,0.138243159016412,0.130726790035334,0.126396287118504,0.121975216320043,0.188710263141617
2024-07-10,0.142233823441506,0.128799455341226,0.114556761753311,0.14163749516202,0.134120887947583,0.129364148588196,0.125138194119887,0.193474689419808
2024-07-17,0.14184306219861,0.128565842613636,0.114409765155406,0.141013669536117,0.133732570550592,0.12894093597409,0.12453545052457,0.192313810126433
2024-07-24,0.132758758650001,0.118829796341363,0.105989401361781,0.131915339165732,0.124421998045283,0.119758834796239,0.115843771873692,0.178783055253562
2024-07-31,0.133291306061105,0.119210104512189,0.106386026400335,0.132588416381904,0.124978135696686,0.120417771985449,0.116571326255747,0.180113857943913
2024-08-07,0.139803260381705,0.125179516034862,0.112591810530661,0.138424745337516,0.130997941572787,0.12673748077522,0.121934727006837,0.188485561329854
2024-08-14,0.13280123782236,0.11811027145318,0.106744351493666,0.132259847039424,0.124601747613912,0.120766986687363,0.11661087179785,0.180572861013598
2024-08-21,0.121548482579556,0.107613732704823,0.0975299090926963,0.12083846702097,0.114410190961675,0.110764580274574,0.10806559223259,0.166865045119502
2024-08-28,0.119513281592758,0.105955052454748,0.0961718381611494,0.119093643753198,0.112885159245985,0.109370499242229,0.106701634632287,0.164691727231139
2024-09-04,0.118137578981924,0.104873684081871,0.0953800630612689,0.117511408410456,0.11168787396033,0.108294728206478,0.105441675911861,0.162433469793142
