"input","z","raw_value","median","q05","q95"
"c_t",2.25,2.0717525873031,0.0367866561770202,-0.337632282193144,0.418225339083019
"c_t",2.375,2.18906156689164,0.039791940035959,-0.348903871135736,0.428978159073036
"c_t",2.5,2.30637054648018,0.0423192707544554,-0.357874659463754,0.446144598508611
"itraxx",-2.5,-2.3886578934087,0.557194019224535,0.178540688303791,0.918547842693649
"itraxx",-2.375,-2.26935959079514,0.550956391282359,0.179117560007206,0.903371043445227
"itraxx",-2.25,-2.15006128818158,0.544415550605124,0.174116257084486,0.891006907834535
"itraxx",-2.125,-2.03076298556802,0.535079406004497,0.173533300702275,0.876899461143447
"itraxx",-2,-1.91146468295446,0.524125838135605,0.169391135635366,0.858443392938461
"itraxx",-1.875,-1.7921663803409,0.511536240518494,0.16971222283245,0.840282895273762
"itraxx",-1.75,-1.67286807772734,0.498840425761142,0.169816946591649,0.825395183161475
"itraxx",-1.625,-1.55356977511378,0.483707552702773,0.167438370337727,0.806901977275099
"itraxx",-1.5,-1.43427147250022,0.466740257638041,0.16540464792061,0.782440800353447
"itraxx",-1.375,-1.31497316988666,0.447875755509088,0.152145381312434,0.752854555697685
"itraxx",-1.25,-1.1956748672731,0.423513733113448,0.137213507413046,0.717774241885131
"itraxx",-1.125,-1.07637656465953,0.397168961079242,0.127276292862522,0.687618252393776
"itraxx",-1,-0.957078262045974,0.363641414547922,0.107630512235167,0.64756699168893
"itraxx",-0.875,-0.837779959432414,0.32908797947838,0.0767891521129157,0.600443892401955
"itraxx",-0.75,-0.718481656818853,0.291660480470822,0.0424502771390146,0.566659209895323
"itraxx",-0.625,-0.599183354205293,0.250504373158696,0.0032502677356621,0.518549561095427
"itraxx",-0.5,-0.479885051591733,0.202282667960442,-0.0476377168368839,0.468252160128161
"itraxx",-0.375,-0.360586748978172,0.147872253948607,-0.104370185726059,0.411341788341755
"itraxx",-0.25,-0.241288446364612,0.0912966350055691,-0.163134396209828,0.353882559167415
"itraxx",-0.125,-0.121990143751051,0.032004275027677,-0.220171173307199,0.292549206348588
"itraxx",0,-0.00269184113749095,-0.0293692989813939,-0.275607453667713,0.229402282907329
"itraxx",0.125,0.116606461476069,-0.0887986647898437,-0.335072690330339,0.166878585590911
"itraxx",0.25,0.23590476408963,-0.146233979770994,-0.398406239104164,0.104980124255324
"itraxx",0.375,0.35520306670319,-0.201369985318877,-0.451381990462517,0.0466101692585867
"itraxx",0.5,0.474501369316751,-0.247962994327686,-0.506017591509948,-0.00770902499641765
"itraxx",0.625,0.593799671930311,-0.288009657359593,-0.545228613515023,-0.0476221419736496
"itraxx",0.75,0.713097974543871,-0.327266988880698,-0.583571177833179,-0.0795905598947159
"itraxx",0.875,0.832396277157432,-0.358966836701471,-0.619385127945748,-0.101338853616177
"itraxx",1,0.951694579770992,-0.384516683448,-0.651254846732193,-0.126571944843358
"itraxx",1.125,1.07099288238455,-0.407175348483666,-0.679541648213104,-0.135820921901353
"itraxx",1.25,1.19029118499811,-0.426398037959232,-0.705740887109559,-0.148216834032175
"itraxx",1.375,1.30958948761167,-0.44011250429631,-0.729771592802935,-0.159104350229753
"itraxx",1.5,1.42888779022523,-0.451908647172691,-0.749824935150984,-0.161353026068532
"itraxx",1.625,1.54818609283879,-0.462317927012165,-0.767502709968723,-0.159349403155126
"itraxx",1.75,1.66748439545235,-0.46925224696544,-0.78450504737893,-0.160275811107921
"itraxx",1.875,1.78678269806592,-0.478061662639708,-0.792217342055866,-0.16092941889621
"itraxx",2,1.90608100067948,-0.485189024309805,-0.804710308886149,-0.162227525587799
"itraxx",2.125,2.02537930329304,-0.491117845948891,-0.818437727266903,-0.160281109458954
"itraxx",2.25,2.1446776059066,-0.492918546483372,-0.829157744975761,-0.154226432585297
"itraxx",2.375,2.26397590852016,-0.495671383359495,-0.836234005176883,-0.153222388788703
"itraxx",2.5,2.38327421113372,-0.498637382958372,-0.841610568676095,-0.148023542205825
"Term_Spread",-2.5,-5.31340788716405,0.0378918898025583,-0.266203202764414,0.367672617767938
"Term_Spread",-2.375,-5.07860399427065,0.0360741415123367,-0.255252967514664,0.35942121354625
"Term_Spread",-2.25,-4.84380010137724,0.0346782417080136,-0.247638631934814,0.345346094960952
"Term_Spread",-2.125,-4.60899620848384,0.0340124783586257,-0.242646693717401,0.332710035201834
"Term_Spread",-2,-4.37419231559043,0.0315857168883354,-0.233175201717229,0.314743309106686
"Term_Spread",-1.875,-4.13938842269702,0.0294061140297294,-0.222370474109933,0.301065759030959
"Term_Spread",-1.75,-3.90458452980362,0.0283209851207873,-0.211249341689169,0.28943410397416
"Term_Spread",-1.625,-3.66978063691021,0.0260661700843366,-0.198889593922149,0.27246375471141
"Term_Spread",-1.5,-3.43497674401681,0.0248774203322978,-0.192248401413912,0.25843484263716
"Term_Spread",-1.375,-3.2001728511234,0.0241663984650496,-0.182720776484331,0.244609777601055
"Term_Spread",-1.25,-2.96536895822999,0.0232306855806636,-0.174625791944328,0.231021972953536
"Term_Spread",-1.125,-2.73056506533659,0.0229508202167223,-0.166094733565816,0.221014767188159
"Term_Spread",-1,-2.49576117244318,0.0201630396560224,-0.162251166349415,0.204475675316431
"Term_Spread",-0.875,-2.26095727954977,0.0181154706425114,-0.159725253768114,0.19682499986828
"Term_Spread",-0.75,-2.02615338665637,0.0145255010136644,-0.158317187957161,0.189854393093282
"Term_Spread",-0.625,-1.79134949376296,0.0103771262207316,-0.158958654279494,0.182033888383241
"Term_Spread",-0.5,-1.55654560086956,0.00813118939574394,-0.159542317378919,0.182717776023175
"Term_Spread",-0.375,-1.32174170797615,0.00354899572017582,-0.166700820045471,0.180446359425375
"Term_Spread",-0.25,-1.08693781508274,-0.00171437749453616,-0.176056356545709,0.178083471277812
"Term_Spread",-0.125,-0.852133922189338,-0.00789218546666482,-0.183613524767765,0.178664288990449
"Term_Spread",0,-0.617330029295932,-0.0132532961349116,-0.190759922783813,0.179746383675859
"Term_Spread",0.125,-0.382526136402525,-0.0183016954249779,-0.194395566655883,0.173952760162033
"Term_Spread",0.25,-0.147722243509119,-0.0244516686910126,-0.20061871876102,0.167110370452154
"Term_Spread",0.375,0.0870816493842869,-0.0273979191158597,-0.204772116392279,0.159066491696043
"Term_Spread",0.5,0.321885542277693,-0.0308075732621887,-0.205672930996457,0.156933173952254
"Term_Spread",0.625,0.556689435171099,-0.0331812697017924,-0.207889859823423,0.156461118887515
"Term_Spread",0.75,0.791493328064505,-0.0350659452716715,-0.205296554852818,0.156699825507634
"Term_Spread",0.875,1.02629722095791,-0.0335565409433587,-0.209929867473516,0.155309668695727
