"loss","regime","n","model_A","model_B","mean_diff","statistic","p_value","better"
"fz05","high",113,"sGARCH","gjrGARCH",0.0585467367130409,1.20761952279697,0.227193646258604,"gjrGARCH"
"fz05","high",113,"sGARCH","eGARCH",-0.0222672063009011,-0.274072160030622,0.784029168034031,"sGARCH"
"fz05","high",113,"sGARCH","harRV",0.0373529561125512,0.348413556444988,0.72752962301235,"harRV"
"fz05","high",113,"sGARCH","linearSV",0.0344151374892145,0.547462161778265,0.584061259142623,"linearSV"
"fz05","high",113,"sGARCH","regimeSwitchingSV",0.052141437005541,0.651315315373271,0.514842963927312,"regimeSwitchingSV"
"fz05","high",113,"sGARCH","nonlinearSV",0.00989635860112744,0.109347776836304,0.912926653319011,"nonlinearSV"
"fz05","high",113,"gjrGARCH","eGARCH",-0.080813943013942,-0.927462055138473,0.353686684172451,"gjrGARCH"
"fz05","high",113,"gjrGARCH","harRV",-0.0211937806004897,-0.225728958951069,0.82141223334057,"gjrGARCH"
"fz05","high",113,"gjrGARCH","linearSV",-0.0241315992238264,-0.504883558190545,0.613640622887634,"gjrGARCH"
"fz05","high",113,"gjrGARCH","regimeSwitchingSV",-0.00640529970749988,-0.107530893469555,0.914367817958413,"gjrGARCH"
"fz05","high",113,"gjrGARCH","nonlinearSV",-0.0486503781119135,-0.671085129753257,0.502166299421619,"gjrGARCH"
"fz05","high",113,"eGARCH","harRV",0.0596201624134523,0.535343384122224,0.592412431762317,"harRV"
"fz05","high",113,"eGARCH","linearSV",0.0566823437901156,0.689289204593954,0.490641290097184,"linearSV"
"fz05","high",113,"eGARCH","regimeSwitchingSV",0.0744086433064421,0.77076718091427,0.440844943448479,"regimeSwitchingSV"
"fz05","high",113,"eGARCH","nonlinearSV",0.0321635649020285,0.375215106194336,0.707500496439683,"nonlinearSV"
"fz05","high",113,"harRV","linearSV",-0.00293781862333667,-0.0420673019304889,0.966445046364879,"harRV"
"fz05","high",113,"harRV","regimeSwitchingSV",0.0147884808929898,0.166823544146274,0.8675088927304,"regimeSwitchingSV"
"fz05","high",113,"harRV","nonlinearSV",-0.0274565975114238,-0.287410144254703,0.773798294730842,"harRV"
"fz05","high",113,"linearSV","regimeSwitchingSV",0.0177262995163265,0.61214568067402,0.54044137655897,"regimeSwitchingSV"
"fz05","high",113,"linearSV","nonlinearSV",-0.0245187788880871,-0.549222771227499,0.582852579144087,"linearSV"
"fz05","high",113,"regimeSwitchingSV","nonlinearSV",-0.0422450784044136,-1.03973900467682,0.298461173982416,"regimeSwitchingSV"
"fz05","low",40,"sGARCH","gjrGARCH",0.175550459597799,1.40975729032207,0.158611361757916,"gjrGARCH"
"fz05","low",40,"sGARCH","eGARCH",0.280320732474285,1.52876951839958,0.12632159140433,"eGARCH"
"fz05","low",40,"sGARCH","harRV",0.236717483089916,1.25455024619676,0.209642074610688,"harRV"
"fz05","low",40,"sGARCH","linearSV",0.222557421945382,1.17253023577658,0.240984240210566,"linearSV"
"fz05","low",40,"sGARCH","regimeSwitchingSV",0.194079939550833,1.03690186115132,0.299781596478245,"regimeSwitchingSV"
"fz05","low",40,"sGARCH","nonlinearSV",0.171227325409572,0.900994570299939,0.367591206619665,"nonlinearSV"
"fz05","low",40,"gjrGARCH","eGARCH",0.104770272876486,0.982075177786611,0.326062813133233,"eGARCH"
"fz05","low",40,"gjrGARCH","harRV",0.0611670234921169,0.520954045461467,0.602398784710587,"harRV"
"fz05","low",40,"gjrGARCH","linearSV",0.047006962347583,0.48880503638784,0.62497973205718,"linearSV"
"fz05","low",40,"gjrGARCH","regimeSwitchingSV",0.0185294799530336,0.187516157361153,0.85125595663037,"regimeSwitchingSV"
"fz05","low",40,"gjrGARCH","nonlinearSV",-0.00432313418822785,-0.0486040587508395,0.961234835374606,"gjrGARCH"
"fz05","low",40,"eGARCH","harRV",-0.0436032493843688,-0.274753436502061,0.783505673996863,"eGARCH"
"fz05","low",40,"eGARCH","linearSV",-0.0577633105289026,-0.462078844450354,0.644024780617688,"eGARCH"
"fz05","low",40,"eGARCH","regimeSwitchingSV",-0.0862407929234521,-0.663976863569026,0.506705119222687,"eGARCH"
"fz05","low",40,"eGARCH","nonlinearSV",-0.109093407064713,-0.947497980481757,0.343385084835874,"eGARCH"
"fz05","low",40,"harRV","linearSV",-0.0141600611445339,-0.255486605727666,0.798347287513461,"harRV"
"fz05","low",40,"harRV","regimeSwitchingSV",-0.0426375435390833,-0.692513220764273,0.488615086245867,"harRV"
"fz05","low",40,"harRV","nonlinearSV",-0.0654901576803447,-0.88279385754293,0.377347659848149,"harRV"
"fz05","low",40,"linearSV","regimeSwitchingSV",-0.0284774823945494,-1.48279298448858,0.138129420571648,"linearSV"
"fz05","low",40,"linearSV","nonlinearSV",-0.0513300965358108,-2.17913749135272,0.0293214558496004,"linearSV"
"fz05","low",40,"regimeSwitchingSV","nonlinearSV",-0.0228526141412614,-0.934524886228119,0.350033204952622,"regimeSwitchingSV"
