"scenario","K","tau_w_scale","parameter","true_value","posterior_median","posterior_sd","lower_95","upper_95","inside_95","bias","bias_frac","z"
"main",4,0.5,"nu",10,20.5949627616189,13.3226119461503,7.75969597514645,57.4475463500413,TRUE,10.5949627616189,1.05949627616189,0.795261680250351
"main",4,0.5,"g_sd",0.156539656318963,0.144398923121719,0.0316188774689165,0.0972034449443167,0.220871378551819,TRUE,-0.0121407331972437,-0.0775569174146254,-0.383971037845313
"main",4,0.5,"h_bar",1.03446347320351,1.10891267263019,0.0887341447709848,0.926675741780196,1.27519411325796,TRUE,0.0744491994266807,0.0719689011310642,0.839014109155249
"strong",4,0.5,"mu",-1.51062441079145,-1.49784712413862,0.404354617224771,-2.01413752299326,-0.873471932699995,TRUE,0.0127772866528277,-0.00845828159637208,0.0315992104666018
"strong",4,0.5,"phi",0.95,0.940354835068935,0.0162886430512459,0.907797580807302,0.971058737069053,TRUE,-0.00964516493106471,-0.0101528051905944,-0.592140480991568
"strong",4,0.5,"sigma_eta",0.25,0.305885232288259,0.0570461425055069,0.206200399657439,0.428707361800407,TRUE,0.0558852322882594,0.223540929153037,0.979649628068445
"strong",4,0.5,"nu",10,19.8728784778418,13.2436820514369,7.2880471534516,57.5452688415076,TRUE,9.87287847784176,0.987287847784176,0.745478367684808
"strong",4,0.5,"g_sd",0.40370775992311,0.371906581645687,0.0354697762650255,0.307960423149898,0.446921277443252,TRUE,-0.0318011782774235,-0.0787727694000243,-0.896571155109897
"strong",4,0.5,"h_bar",-1.65468615609226,-1.58764623994706,0.0901200179886832,-1.77819238835665,-1.42337253244197,TRUE,0.0670399161451976,-0.0405151852503078,0.743895947220251
"main",4,0.75,"mu",1.1376975408664,1.14631310268343,0.545662961254186,0.454443031385021,2.55605696382155,TRUE,0.00861556181702672,0.00757280516794089,0.0157891636940579
"main",4,0.75,"phi",0.95,0.950623340073296,0.0251932116897829,0.897268271570328,0.994058892021173,TRUE,0.000623340073296008,0.000656147445574745,0.0247423822326236
"main",4,0.75,"sigma_eta",0.25,0.257271883678452,0.0605898763544906,0.145756861710391,0.384914365213259,TRUE,0.00727188367845155,0.0290875347138062,0.120018130354092
"main",4,0.75,"nu",10,20.7955869602661,13.1359695474534,7.87184942997395,58.1065962868122,TRUE,10.7955869602661,1.07955869602661,0.821834042874966
"main",4,0.75,"g_sd",0.156539656318963,0.14507333771132,0.0321092097737303,0.0967528758392158,0.222742076470083,TRUE,-0.0114663186076434,-0.0732486507079062,-0.357103730937172
"main",4,0.75,"h_bar",1.03446347320351,1.11004635311394,0.0872097506378398,0.929690944263613,1.27264334760934,TRUE,0.0755828799104319,0.073064812695965,0.866679234347414
"strong",4,0.75,"mu",-1.51062441079145,-1.49875684669539,0.293374421840941,-2.02126218227146,-0.88402595893128,TRUE,0.0118675640960575,-0.00785606535369027,0.0404519385895603
"strong",4,0.75,"phi",0.95,0.940565911207667,0.0165353809923298,0.907110623059523,0.972239676846221,TRUE,-0.00943408879233298,-0.00993061978140314,-0.57053954769528
"strong",4,0.75,"sigma_eta",0.25,0.305390685976378,0.0570122160431481,0.205459717020403,0.429227463260332,TRUE,0.0553906859763779,0.221562743905511,0.971558199640178
"strong",4,0.75,"nu",10,19.6037467949088,12.8566343555002,7.42796575408264,55.4339742397262,TRUE,9.6037467949088,0.960374679490881,0.746987627504566
"strong",4,0.75,"g_sd",0.40370775992311,0.374047519921109,0.0356273063161013,0.309623664245253,0.449460223711526,TRUE,-0.0296602400020011,-0.0734695810842233,-0.832514244519141
"strong",4,0.75,"h_bar",-1.65468615609226,-1.5864977068706,0.0897047769719439,-1.77416957830204,-1.42308885333144,TRUE,0.0681884492216622,-0.0412092945665887,0.760142899000673
"main",4,1,"mu",1.1376975408664,1.14706701257008,0.518674330957879,0.497716728095644,2.54778807473501,TRUE,0.00936947170368385,0.00823546801072335,0.0180642671989965
"main",4,1,"phi",0.95,0.950346620079702,0.0251474525150302,0.897290723350802,0.993697329006606,TRUE,0.00034662007970232,0.000364863241791916,0.0137835066790623
"main",4,1,"sigma_eta",0.25,0.256878846511601,0.0593375360394382,0.148249341699836,0.381869780414154,TRUE,0.00687884651160076,0.027515386046403,0.115927403979646
"main",4,1,"nu",10,20.7014270877462,13.2087152610951,7.96396224007973,57.6648253699026,TRUE,10.7014270877462,1.07014270877462,0.810179254848966
"main",4,1,"g_sd",0.156539656318963,0.14575046539941,0.0317843706196722,0.0978075974283541,0.221828236958375,TRUE,-0.0107891909195529,-0.0689230523003637,-0.339449569370272
"main",4,1,"h_bar",1.03446347320351,1.10941106577704,0.0871529461234874,0.931986627522614,1.27365406019077,TRUE,0.0749475925735321,0.0724506901548062,0.859954779581846
"strong",4,1,"mu",-1.51062441079145,-1.49770296904253,0.295495091196078,-2.01485151046348,-0.860712074695667,TRUE,0.0129214417489181,-0.00855370908652816,0.0437281096502005
