"scenario","T","rep","parameter","true_value","median","sd","lower_95","upper_95","prob_below_delta","divergences","usable"
"main",520,7,"nu",10,15.8748125341226,11.2904845753173,6.23195502585888,47.9133900706844,NA,1,FALSE
"main",520,7,"g_sd",0.149697514802675,0.168417199185927,0.0276742482338141,0.122913684298394,0.229438284702889,0,1,FALSE
"main",520,7,"h_bar",2.48108402954494,2.57068700336273,0.0949218869621793,2.36555520255748,2.74091335082062,NA,1,FALSE
"main",520,8,"mu",2.03094185602174,2.26162332588059,0.244142099206447,1.78337332454048,2.74116522983379,NA,0,TRUE
"main",520,8,"phi",0.95,0.93708923364879,0.0146375814075499,0.907566086561408,0.965249804162428,NA,0,TRUE
"main",520,8,"sigma_eta",0.25,0.293998728458291,0.0504781046385379,0.206028428667703,0.405660972728248,NA,0,TRUE
"main",520,8,"nu",10,23.9913455340028,14.1761426425795,9.04065635050874,62.5221784607102,NA,0,TRUE
"main",520,8,"g_sd",0.175898536034727,0.240349511788369,0.0311129222500812,0.186975925680115,0.310033651972733,0,0,TRUE
"main",520,8,"h_bar",2.36057051928336,2.33498775166228,0.0811793209761499,2.16930406224257,2.48667032739353,NA,0,TRUE
"main",520,9,"mu",1.29214200396946,1.37942934602763,0.213255235450982,0.97169026824916,1.79701769603183,NA,1,FALSE
"main",520,9,"phi",0.95,0.942549758618651,0.0165161384026668,0.906260112824152,0.970508850322931,NA,1,FALSE
"main",520,9,"sigma_eta",0.25,0.200435985100714,0.0640799959113033,0.0869249304143921,0.34155324339624,NA,1,FALSE
"main",520,9,"nu",10,9.15311592860177,6.76191669696064,4.67703662288359,30.1709563159325,NA,1,FALSE
"main",520,9,"g_sd",0.169315087066316,0.195542550323831,0.029949329257461,0.146780396208056,0.264268105550762,0,1,FALSE
"main",520,9,"h_bar",1.42680904081756,1.3895140601265,0.110934402331147,1.16411063850988,1.59461190533187,NA,1,FALSE
"main",520,10,"mu",1.95956423199347,1.83134066150603,0.38968187294935,0.97094888967597,2.48556451683678,NA,7,FALSE
"main",520,10,"phi",0.95,0.938835707050775,0.0237125051312379,0.888523165203081,0.98108067687881,NA,7,FALSE
"main",520,10,"sigma_eta",0.25,0.376327897448569,0.0738835304128771,0.243184331058537,0.535478930825151,NA,7,FALSE
"main",520,10,"nu",10,9.86720633256037,9.43802094938591,4.42523411980584,39.9972425311181,NA,7,FALSE
"main",520,10,"g_sd",0.171819751266895,0.200893054566249,0.0392802300281846,0.132378459070228,0.286113573582854,0,7,FALSE
"main",520,10,"h_bar",2.00078077517611,1.9144172571421,0.115180181391099,1.67665754332768,2.11733226442929,NA,7,FALSE
