"scenario","T","rep","parameter","true_value","median","sd","lower_95","upper_95","prob_below_delta","divergences","usable"
"strong",520,5,"phi",0.95,0.933801561939725,0.0119906636730135,0.908009896413563,0.955782660365352,NA,0,TRUE
"strong",520,5,"sigma_eta",0.25,0.365479779712889,0.0708898379090367,0.242663758115623,0.519027848410492,NA,0,TRUE
"strong",520,5,"nu",10,15.1153849643291,11.7540341995809,5.79939937841913,50.4337312277157,NA,0,TRUE
"strong",520,5,"g_sd",0.598746172588142,0.458693213398066,0.033323514992743,0.398573870409188,0.529181211124424,0,0,TRUE
"strong",520,5,"h_bar",-1.35977652713133,-1.23244251262039,0.100991462609715,-1.45306311158711,-1.052607744881,NA,0,TRUE
"strong",520,6,"mu",-0.513039065347521,-0.298164122161833,0.222920030319198,-0.710217179848625,0.153452272353123,NA,0,TRUE
"strong",520,6,"phi",0.95,0.90577061101448,0.0163385498422051,0.871538386304134,0.935881522034147,NA,0,TRUE
"strong",520,6,"sigma_eta",0.25,0.399315389863577,0.0727870329468953,0.266515135103125,0.552533640173804,NA,0,TRUE
"strong",520,6,"nu",10,13.0087504682559,11.078822890993,5.05193753428445,46.1620467866918,NA,0,TRUE
"strong",520,6,"g_sd",0.564210119285831,0.470153727370643,0.0392674977150783,0.398501132579225,0.550508042178174,0,0,TRUE
"strong",520,6,"h_bar",-0.381559149888664,-0.269596561920223,0.104359524042904,-0.494804027352481,-0.0831018765962853,NA,0,TRUE
"strong",520,7,"mu",0.66068897593061,0.381800852591504,0.15706628494782,0.0936862841851808,0.709671327143815,NA,0,TRUE
"strong",520,7,"phi",0.95,0.922283594401361,0.0153844961223327,0.890648666947799,0.951538480458686,NA,0,TRUE
"strong",520,7,"sigma_eta",0.25,0.147394732408858,0.0717580450809239,0.013648983151998,0.292181053672031,NA,0,TRUE
"strong",520,7,"nu",10,6.13466330636725,3.72970125859082,3.74825047889375,16.7671064140884,NA,0,TRUE
"strong",520,7,"g_sd",0.489315111620321,0.386982343786202,0.0276602967116602,0.336159299920061,0.444774262056655,0,0,TRUE
"strong",520,7,"h_bar",0.403875764749102,0.304720560028765,0.117844621009932,0.0776572162959642,0.531316522667217,NA,0,TRUE
"strong",520,8,"mu",-0.686678779896736,-0.424658597044992,0.126409980754416,-0.702871839256081,-0.192554437462137,NA,0,TRUE
"strong",520,8,"phi",0.95,0.917073114573184,0.011382572890243,0.894592602373178,0.939167992285273,NA,0,TRUE
"strong",520,8,"sigma_eta",0.25,0.1609598198249,0.0571061501164381,0.0329133095540286,0.267054443121359,NA,0,TRUE
"strong",520,8,"nu",10,22.2328766017145,12.9176980837698,8.82314755799349,58.2157781509859,NA,0,TRUE
"strong",520,8,"g_sd",0.456625260012506,0.462682046397427,0.0264863715228726,0.413217876246565,0.517138888475337,0,0,TRUE
"strong",520,8,"h_bar",-0.619516498396245,-0.436539078326549,0.0794157504583412,-0.600000277743156,-0.287807420931629,NA,0,TRUE
"strong",520,9,"mu",-0.672295158241901,-0.395101084980747,0.181530514978339,-0.750747275759601,-0.0244796375276959,NA,0,TRUE
"strong",520,9,"phi",0.95,0.940984409258744,0.0093609135099582,0.922082245914036,0.958881055929559,NA,0,TRUE
"strong",520,9,"sigma_eta",0.25,0.170288029328815,0.0617415300997652,0.050080758700339,0.293840487435107,NA,0,TRUE
"strong",520,9,"nu",10,10.1322510718134,7.92739747060781,4.86433770884138,34.5896752987871,NA,0,TRUE
"strong",520,9,"g_sd",0.425295266149667,0.412872054802157,0.0236396905657695,0.367936633198563,0.461300197851664,0,0,TRUE
"strong",520,9,"h_bar",-0.369094478848793,-0.402837642334741,0.108160373853787,-0.626362452547231,-0.200527769971218,NA,0,TRUE
"strong",520,10,"mu",-0.557335272701816,-0.794848696499217,0.257545642967716,-1.30987330744988,-0.291834601766421,NA,0,TRUE
"strong",520,10,"phi",0.95,0.939151790558766,0.0125426772058802,0.91299991914628,0.96317835667163,NA,0,TRUE
"strong",520,10,"sigma_eta",0.25,0.315718957899469,0.0582210176663962,0.212379079924819,0.440550601324073,NA,0,TRUE
"strong",520,10,"nu",10,19.6311346655849,12.9834457569523,7.18621987594812,56.7758557576347,NA,0,TRUE
"strong",520,10,"g_sd",0.44718301654156,0.406500631011421,0.0279053081031746,0.353421835790078,0.465333696462923,0,0,TRUE
"strong",520,10,"h_bar",-1.02221554403405,-0.948772114099737,0.0891263501680761,-1.13810307325624,-0.786267232147582,NA,0,TRUE
